epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1245.73,1.28107,1.51348,2.45358,1.12912,0.91688,0.20057,0.75736,0.48233,0.91688,0.20057,0.77053,0.52627,1.05738,1.28286,3.30143,0.98917,0.000654545,0.000654545,0.000654545
2,2798.77,1.22809,1.0702,1.5807,1.05464,0.84019,0.76474,0.79239,0.45276,0.84234,0.73636,0.79229,0.58781,1.24295,1.3077,2.40179,1.13483,0.00129505,0.00129505,0.00129505
3,4295.78,1.24353,1.025,1.37346,1.06864,0.86308,0.85959,0.9225,0.5931,0.85892,0.89091,0.92792,0.66892,1.14901,1.40172,1.68284,1.0384,0.00190916,0.00190916,0.00190916
4,5549.22,1.17302,1.02772,1.1734,1.04652,0.84547,0.83636,0.91066,0.6021,0.84547,0.83636,0.91057,0.68102,1.14162,1.16988,1.39895,1.0225,0.0018812,0.0018812,0.0018812
5,6640.86,1.19726,1.01541,1.0703,1.06494,0.92478,0.89421,0.95071,0.62033,0.92427,0.88768,0.93759,0.70741,1.12139,1.0086,1.29838,1.03517,0.0018416,0.0018416,0.0018416
6,7696.01,1.13303,0.92236,0.96054,1.04457,0.88147,0.89091,0.93113,0.62514,0.87377,0.86364,0.90131,0.65771,1.16162,1.11285,1.17189,1.11249,0.001802,0.001802,0.001802
7,8745.65,1.0967,0.84223,0.87634,1.03764,0.95232,0.95455,0.98322,0.69685,0.95232,0.95455,0.98322,0.75669,0.97596,0.76765,0.90387,1.00402,0.0017624,0.0017624,0.0017624
8,9831.95,1.06842,0.88815,0.81385,1.01074,0.9359,0.92908,0.95845,0.62965,0.9359,0.92908,0.96348,0.76759,1.14246,0.84576,0.84281,1.0756,0.0017228,0.0017228,0.0017228
9,10884.1,1.04933,0.86315,0.80681,1.01251,0.96197,0.91993,0.97055,0.76205,0.97147,0.92861,0.98896,0.80141,0.79774,0.72434,0.6808,0.91962,0.0016832,0.0016832,0.0016832
10,11931.2,0.97821,0.80042,0.72906,0.9895,0.95451,0.95375,0.97295,0.73681,0.95451,0.95375,0.97295,0.78407,0.87198,0.75235,0.7172,0.93695,0.0016436,0.0016436,0.0016436
11,12979.6,0.9267,0.74939,0.69912,0.9751,0.94578,0.96364,0.98539,0.73291,0.94578,0.96364,0.98539,0.79992,0.87228,0.77234,0.68929,0.92171,0.001604,0.001604,0.001604
12,14026.3,0.92708,0.75584,0.71093,0.9731,0.97294,0.98052,0.99242,0.74759,0.97294,0.98052,0.99188,0.77712,0.80847,0.74452,0.655,0.90808,0.0015644,0.0015644,0.0015644
13,15068.5,0.89369,0.76775,0.68332,0.95361,0.9526,0.97273,0.98983,0.73123,0.9615,0.98182,0.99118,0.82362,0.90727,0.71297,0.66266,0.93629,0.0015248,0.0015248,0.0015248
